0.0, 0.0
0.1, -0.1728307145290505
0.2, -0.3529782904675733
0.3, -0.5390792857564609
0.4, -0.7295732802366706
0.5, -0.9224929455721292
0.6, -1.1160943426440402
0.7, -1.3084838676814667
0.8, -1.497849139724903
0.9, -1.6825246007970744
1.0, -1.8610519457920838
1.1, -2.0322216977457797
1.2, -2.19509440290601
1.3, -2.3490028095254862
1.4, -2.493538171029454
1.5, -2.628538293521386
1.6, -2.7540519973260635
1.7, -2.870260694791345
1.8, -2.9774649568694693
1.9, -3.076079513762641
2.0, -3.166584430215437
